RRT,hard
path?,time,iters,segments
True,4.891322135925293,977,20
True,6.65212607383728,1376,22
True,2.9827258586883545,558,14
True,5.751387119293213,1219,23
True,9.665211200714111,2004,28
True,3.52571177482605,711,18
True,6.052879810333252,1332,27
True,8.03390884399414,1683,22
True,5.6117260456085205,1219,20
True,10.07502269744873,2166,24
True,9.270662069320679,1923,26
True,6.597153902053833,1380,20
True,7.829881191253662,1858,20
True,6.908797979354858,1472,28
True,3.774204969406128,740,17
True,6.773730754852295,1531,23
True,5.523449182510376,1143,17
True,4.41632604598999,889,22
True,6.997246980667114,1436,21
True,6.527780294418335,1448,20
True,7.1557581424713135,1460,19
True,8.780186891555786,1944,19
True,9.789746284484863,2107,26
True,7.701608180999756,1673,22
True,6.717497110366821,1450,22
True,2.4066097736358643,447,17
True,5.091152191162109,1070,22
True,3.63136625289917,698,17
True,4.376660108566284,902,22
True,12.70643401145935,2796,21
True,3.5940558910369873,706,19
True,6.4774110317230225,1384,18
True,4.866847038269043,1011,18
True,4.897849798202515,1107,19
True,7.684835910797119,1694,19
True,8.008071899414062,1660,22
True,6.5308449268341064,1319,29
True,6.440670967102051,1398,21
True,7.312092065811157,1578,21
True,10.483790159225464,2451,23
True,11.142812967300415,2370,23
True,6.78246283531189,1486,26
True,6.554924726486206,1352,21
True,284.6747078895569,1239,23
True,5.798128128051758,1183,19
True,6.338440895080566,1339,19
True,4.4151387214660645,938,19
True,5.188065052032471,994,17
True,4.027436017990112,939,19
True,5.404784917831421,1160,21
True,8.117629051208496,1697,21
True,4.296503067016602,827,18
True,7.540469646453857,1647,21
True,4.480149984359741,937,19
True,10.799904108047485,2426,21
True,8.264636993408203,1707,25
True,9.664332151412964,2229,23
True,5.006789922714233,1033,21
True,7.484251976013184,1763,23
True,4.243246078491211,908,17
True,8.250072956085205,1904,19
True,6.979396104812622,1608,17
True,6.387274265289307,1345,17
True,10.376906871795654,2351,20
True,10.96296215057373,2590,21
True,10.897842168807983,2418,25
True,7.009917974472046,1506,20
True,9.622562646865845,2239,24
True,5.934623956680298,1322,22
True,6.8895649909973145,1575,23
True,12.055182218551636,2791,24
True,8.508787155151367,1906,26
True,8.16801905632019,1752,28
True,5.059894800186157,1047,20
True,10.76034927368164,2662,24
True,4.053595304489136,821,17
True,10.064958095550537,2328,23
True,4.753464937210083,948,19
True,14.701045036315918,3440,29
True,5.7679688930511475,1316,20
True,5.511717796325684,1257,18
True,6.556761026382446,1378,23
True,4.233363151550293,813,17
True,3.065434217453003,625,19
True,3.4851930141448975,618,17
True,8.209146976470947,1665,22
True,3.174072027206421,617,16
True,4.746990919113159,939,22
True,10.014781951904297,2163,23
True,6.43407416343689,1401,20
True,8.082528114318848,1743,24
True,9.252084016799927,2222,20
True,5.160170316696167,1127,23
True,10.84055233001709,2392,21
True,4.354611873626709,829,18
True,3.0515239238739014,622,18
True,10.133837938308716,2424,26
True,8.391248941421509,1935,24
True,14.107221126556396,3233,26
True,11.436903953552246,2646,20
