RRT,maze
path?,time,iters,segments
True,0.88211989402771,76,4
True,0.8927810192108154,80,4
True,1.168212890625,115,5
True,2.436903953552246,260,8
True,3.144484281539917,354,6
True,0.6688859462738037,74,7
True,0.9711849689483643,87,4
True,1.4004428386688232,122,4
True,5.236742973327637,598,8
True,0.6858289241790771,64,4
True,0.5062820911407471,43,4
True,1.7966241836547852,166,6
True,0.19476675987243652,12,3
True,0.7222058773040771,48,4
True,2.1706461906433105,218,5
True,0.3610241413116455,31,5
True,0.4827308654785156,32,4
True,2.352857828140259,248,9
True,1.2412238121032715,115,3
True,1.5280349254608154,134,5
True,0.8762438297271729,85,6
True,0.5831968784332275,37,4
True,1.2179069519042969,99,4
True,1.8933680057525635,185,6
True,0.27034497261047363,20,3
True,1.0798969268798828,78,4
True,1.1957690715789795,123,8
True,1.6446900367736816,173,7
True,7.062134027481079,925,12
True,1.5232818126678467,162,8
True,1.7435147762298584,154,6
True,2.0721259117126465,234,6
True,0.21550321578979492,16,3
True,1.396620750427246,121,4
True,2.6969258785247803,251,7
True,1.0739271640777588,111,3
True,0.3118929862976074,20,3
True,4.776855945587158,564,12
True,0.49277472496032715,35,3
True,0.43454790115356445,34,3
True,2.810145854949951,295,6
True,0.4693570137023926,37,3
True,0.6869020462036133,68,4
True,1.2257161140441895,124,7
True,1.9765141010284424,223,4
True,1.3458011150360107,130,4
True,1.7318332195281982,175,4
True,1.2192890644073486,94,5
True,0.18889069557189941,11,3
True,0.25736284255981445,16,3
True,1.0997402667999268,111,7
True,1.2876248359680176,120,6
True,0.9722208976745605,83,5
True,0.7816009521484375,67,5
True,0.18189430236816406,13,4
True,0.4526538848876953,37,5
True,0.24528908729553223,15,3
True,2.591789960861206,253,5
True,0.3457369804382324,30,4
True,0.8064486980438232,69,3
True,0.24216198921203613,18,3
True,0.06578516960144043,4,3
True,3.799268960952759,440,7
True,1.788816213607788,176,7
True,0.06651020050048828,3,3
True,4.29252290725708,473,8
True,2.6117429733276367,278,8
True,0.6401588916778564,49,3
True,0.4853048324584961,40,3
True,0.25206518173217773,18,4
True,0.47619199752807617,51,4
True,0.5773768424987793,42,3
True,1.917492151260376,172,5
True,1.0809910297393799,115,6
True,0.16223907470703125,11,4
True,1.9933960437774658,182,6
True,0.5657601356506348,52,4
True,1.078381061553955,103,7
True,1.0771188735961914,96,4
True,0.8603408336639404,72,5
True,0.7598261833190918,75,6
True,0.24977588653564453,18,3
True,0.2608671188354492,14,3
True,0.06769394874572754,3,3
True,0.2465381622314453,19,3
True,0.8050189018249512,56,5
True,1.4550039768218994,167,4
True,0.5044670104980469,34,3
True,2.8448569774627686,268,9
True,0.5200140476226807,38,4
True,0.5880498886108398,51,5
True,2.5943849086761475,309,8
True,0.3318929672241211,26,4
True,2.785245895385742,279,5
True,0.46172118186950684,36,3
True,0.6455850601196289,60,5
True,0.07259798049926758,4,3
True,2.213494062423706,238,7
True,1.0279569625854492,95,6
True,0.09141731262207031,5,3
