model,env,Theta size,num obs,time,num parts
car,zigzag1,0.20000000000000004,9,0.027119874954223633,1
car,zigzag2,0.4,9,0.14179611206054688,4
car,zigzag3,0.5999999999999999,9,0.6115930080413818,16
car,maze,0.2000000000000002,22,0.08121180534362793,1
car,barrier,0.7071067811865476,6,0.5126261711120605,25
car,SCOTS,0.07071067811865478,19,0.630054235458374,1
robot,zigzag1,0.20000000000000004,9,0.025362253189086914,1
robot,zigzag2,0.4,9,0.18903017044067383,4
robot,zigzag3,0.5999999999999999,9,0.6194591522216797,16
robot,maze,0.2000000000000002,22,0.08017683029174805,1
robot,barrier,0.7071067811865476,6,0.5452659130096436,25
robot,SCOTS,0.07071067811865478,19,0.6431810855865479,1
auv,ztunnel,0.8660254037844386,6,0.36435413360595703,1
auv,ltunnel,0.8660254037844386,8,0.3259429931640625,1
hovercraft,ztunnel,0.8660254037844386,6,0.4763028621673584,1
hovercraft,ltunnel,0.8660254037844386,8,0.1383528709411621,1
